期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
BMJ Health & Care Informatics,BMJ HEALTH CARE INFO,27/180,17/194,,2632-1009,HEALTH CARE SCIENCES & SERVICES,1626.0,6.2,Q1,1.09,100.0,ESCI
EXCLI Journal,EXCLI J,26/105,7/106,1611-2156,1611-2156,BIOLOGY,4410.0,6.2,Q1,0.81,0.0,SCIE
Translational Research,TRANSL RES,38/315,31/336,1931-5244,1878-1810,"MEDICINE, GENERAL & INTERNAL",7610.0,6.1,Q1,1.85,14.64,SCIE
European Heart Journal-Cardiovascular Imaging,EUR HEART J-CARD IMG,29/229,37/237,2047-2404,2047-2412,CARDIAC & CARDIOVASCULAR SYSTEMS,12031.0,6.1,Q1,1.63,34.96,SCIE
JACC-Asia,JACC-ASIA,36/229,37/237,2772-3747,2772-3747,CARDIAC & CARDIOVASCULAR SYSTEMS,1647.0,6.1,Q1,1.36,100.0,ESCI
Circulation-Genomic and Precision Medicine,CIRC-GENOM PRECIS ME,17/229,37/237,2574-8300,2574-8300,CARDIAC & CARDIOVASCULAR SYSTEMS,2655.0,6.1,Q1,1.34,31.21,SCIE
Journal of Neuroimmune Pharmacology,J NEUROIMMUNE PHARM,105/320,49/330,1557-1890,1557-1904,NEUROSCIENCES,3663.0,6.1,Q1,1.3,37.37,SCIE
JMIR AI,JMIR AI,32/180,21/194,,2817-1705,HEALTH CARE SCIENCES & SERVICES,789.0,6.1,Q1,1.26,100.0,ESCI
QUARTERLY REVIEWS OF BIOPHYSICS,Q REV BIOPHYS,5/79,7/81,0033-5835,1469-8994,BIOPHYSICS,2458.0,6.1,Q1,1.05,59.46,SCIE
Current Neuropharmacology,CURR NEUROPHARMACOL,64/320,49/330,1570-159X,1875-6190,NEUROSCIENCES,10789.0,6.1,Q1,0.89,6.99,SCIE
Engineering Microbiology,ENG MICROBIOL,25/175,31/180,2097-4280,2667-3703,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,680.0,6.1,Q1,0.74,100.0,ESCI
Journal of Clinical Anesthesia,J CLIN ANESTH,5/69,6/72,0952-8180,1873-4529,ANESTHESIOLOGY,8242.0,6.0,Q1,1.97,34.4,SCIE
Body Image,BODY IMAGE,55/285,26/293,1740-1445,1873-6807,PSYCHIATRY,10740.0,6.0,Q1,1.84,49.14,SSCI
Journal of NeuroEngineering and Rehabilitation,J NEUROENG REHABIL,21/126,29/130,,1743-0003,"ENGINEERING, BIOMEDICAL",12887.0,6.0,Q1,1.54,100.0,SCIE
INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,42/285,26/293,1041-6102,1741-203X,PSYCHIATRY,10223.0,6.0,Q1,1.49,100.0,SCIE
NEUROBIOLOGY OF DISEASE,NEUROBIOL DIS,51/320,51/330,0969-9961,1095-953X,NEUROSCIENCES,23767.0,6.0,Q1,1.39,99.81,SCIE
Journal of the American Heart Association,J AM HEART ASSOC,35/229,40/237,,2047-9980,CARDIAC & CARDIOVASCULAR SYSTEMS,52552.0,6.0,Q1,1.38,99.9,SCIE
American Journal of Medicine,AM J MED,32/315,32/336,0002-9343,1555-7162,"MEDICINE, GENERAL & INTERNAL",24244.0,6.0,Q1,1.15,14.65,SCIE
Health Care Science,HEALTH CARE SCI,60/180,22/194,2771-1749,2771-1757,HEALTH CARE SCIENCES & SERVICES,493.0,6.0,Q1,1.0,100.0,ESCI
EMBO REPORTS,EMBO REP,35/319,64/328,1469-221X,1469-3178,BIOCHEMISTRY & MOLECULAR BIOLOGY,22822.0,6.0,Q1,0.97,85.56,SCIE
Biotechnology for Biofuels and Bioproducts,BIOTECHNOL BIOF BIOP,39/175,32/180,,2731-3654,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,3255.0,6.0,Q1,0.89,100.0,SCIE
Emerging Topics in Life Sciences,EMERG TOP LIFE SCI,69/319,64/328,2397-8554,2397-8562,BIOCHEMISTRY & MOLECULAR BIOLOGY,1763.0,6.0,Q1,0.49,68.42,ESCI
ADDICTION,ADDICTION,22/285,28/293,0965-2140,1360-0443,PSYCHIATRY,21047.0,5.9,Q1,1.57,63.55,"SCIE, SSCI"
Molecular Ecology Resources,MOL ECOL RESOUR,37/319,66/328,1755-098X,1755-0998,BIOCHEMISTRY & MOLECULAR BIOLOGY,18571.0,5.9,Q1,1.5,65.22,SCIE
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,16/315,33/336,0141-0768,1758-1095,"MEDICINE, GENERAL & INTERNAL",5242.0,5.9,Q1,1.47,43.94,SCIE
CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,27/126,30/130,0905-7161,1600-0501,"ENGINEERING, BIOMEDICAL",16256.0,5.9,Q1,1.41,53.03,SCIE
BIOMACROMOLECULES,BIOMACROMOLECULES,132/319,66/328,1525-7797,1526-4602,BIOCHEMISTRY & MOLECULAR BIOLOGY,41799.0,5.9,Q1,1.27,23.65,SCIE
PSYCHIATRY AND CLINICAL NEUROSCIENCES,PSYCHIAT CLIN NEUROS,30/285,28/296,1323-1316,1440-1819,CLINICAL NEUROLOGY,6027.0,5.9,Q1,1.25,55.56,SCIE
CURRENT OPINION IN PSYCHIATRY,CURR OPIN PSYCHIATR,20/285,28/293,0951-7367,1473-6578,PSYCHIATRY,6551.0,5.9,Q1,1.24,14.53,"SCIE, SSCI"
Journal of Parkinsons Disease,J PARKINSON DIS,71/320,53/330,1877-7171,1877-718X,NEUROSCIENCES,7891.0,5.9,Q1,1.11,97.73,SCIE
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,27/79,8/81,0927-7765,1873-4367,BIOPHYSICS,43387.0,5.9,Q1,1.1,15.06,SCIE
Stem Cells Translational Medicine,STEM CELL TRANSL MED,7/31,6/32,2157-6564,2157-6580,CELL & TISSUE ENGINEERING,7584.0,5.9,Q1,1.08,99.59,SCIE
GENE THERAPY,GENE THER,70/319,66/328,0969-7128,1476-5462,BIOCHEMISTRY & MOLECULAR BIOLOGY,6613.0,5.9,Q1,1.05,52.41,SCIE
MATRIX BIOLOGY,MATRIX BIOL,66/319,66/328,0945-053X,1569-1802,BIOCHEMISTRY & MOLECULAR BIOLOGY,8942.0,5.9,Q1,0.92,48.73,SCIE
Frontiers in Genome Editing,FRONT GENOME EDIT,26/175,33/180,,2673-3439,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1353.0,5.9,Q1,0.88,100.0,ESCI
Journal of Functional Biomaterials,J FUNCT BIOMATER,44/126,30/130,,2079-4983,"ENGINEERING, BIOMEDICAL",10974.0,5.9,Q1,0.78,100.0,SCIE
Medical Sciences,MED SCI-BASEL,,33/336,,2076-3271,"MEDICINE, GENERAL & INTERNAL",3390.0,5.9,Q1,0.23,100.0,ESCI
PAIN,PAIN,4/69,7/72,0304-3959,1872-6623,ANESTHESIOLOGY,43560.0,5.8,Q1,1.88,32.12,SCIE
Communications Biology,COMMUN BIOL,10/105,9/106,,2399-3642,BIOLOGY,46196.0,5.8,Q1,1.66,99.98,SCIE
JOURNAL OF CLINICAL EPIDEMIOLOGY,J CLIN EPIDEMIOL,6/180,23/194,0895-4356,1878-5921,HEALTH CARE SCIENCES & SERVICES,47404.0,5.8,Q1,1.45,52.96,SCIE
CEPHALALGIA,CEPHALALGIA,60/285,29/296,0333-1024,1468-2982,CLINICAL NEUROLOGY,13119.0,5.8,Q1,1.29,93.69,SCIE
CIRCULATION JOURNAL,CIRC J,68/229,41/237,1346-9843,1347-4820,CARDIAC & CARDIOVASCULAR SYSTEMS,11553.0,5.8,Q1,1.16,100.0,SCIE
Annals of General Psychiatry,ANN GEN PSYCHIATR,56/285,31/293,,1744-859X,PSYCHIATRY,2820.0,5.8,Q1,1.15,100.0,"SCIE, SSCI"
Microbial Cell Factories,MICROB CELL FACT,31/175,35/180,,1475-2859,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,18560.0,5.8,Q1,1.11,99.88,SCIE
Cell Reports Methods,CELL REP METHODS,4/85,9/85,2667-2375,2667-2375,BIOCHEMICAL RESEARCH METHODS,3163.0,5.8,Q1,0.99,100.0,ESCI
Frontiers in Bioengineering and Biotechnology,FRONT BIOENG BIOTECH,40/175,35/180,2296-4185,2296-4185,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,56245.0,5.8,Q1,0.82,99.97,SCIE
PSYCHOLOGICAL REVIEW,PSYCHOL REV,6/93,8/93,0033-295X,1939-1471,PSYCHOLOGY,36821.0,5.7,Q1,2.11,42.49,SCIE
JOURNAL OF AFFECTIVE DISORDERS,J AFFECT DISORDERS,39/285,31/296,0165-0327,1573-2517,CLINICAL NEUROLOGY,85558.0,5.7,Q1,1.51,28.42,SCIE
SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,26/285,32/293,0586-7614,1745-1701,PSYCHIATRY,19698.0,5.7,Q1,1.46,41.29,"SCIE, SSCI"
Molecular Autism,MOL AUTISM,36/320,57/330,2040-2392,2040-2392,NEUROSCIENCES,5034.0,5.7,Q1,1.44,100.0,SCIE
DM DISEASE-A-MONTH,DM-DIS MON,46/315,35/336,0011-5029,1557-8194,"MEDICINE, GENERAL & INTERNAL",1757.0,5.7,Q1,1.29,5.41,SCIE
CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,38/229,42/237,0828-282X,1916-7075,CARDIAC & CARDIOVASCULAR SYSTEMS,10788.0,5.7,Q1,1.17,25.4,SCIE
Journal of Eating Disorders,J EAT DISORD,64/285,32/293,2050-2974,2050-2974,PSYCHIATRY,6157.0,5.7,Q1,1.17,100.0,SCIE
Global Heart,GLOB HEART,57/229,42/237,2211-8160,2211-8179,CARDIAC & CARDIOVASCULAR SYSTEMS,2848.0,5.7,Q1,1.13,100.0,SCIE
Systematic Reviews,SYST REV-LONDON,18/315,35/336,,2046-4053,"MEDICINE, GENERAL & INTERNAL",30659.0,5.7,Q1,1.03,99.26,SCIE
Journal of Zhejiang University-SCIENCE B,J ZHEJIANG UNIV-SC B,108/319,70/328,1673-1581,1862-1783,BIOCHEMISTRY & MOLECULAR BIOLOGY,5163.0,5.7,Q1,0.86,5.43,SCIE
Essays in Biochemistry,ESSAYS BIOCHEM,51/319,70/328,0071-1365,1744-1358,BIOCHEMISTRY & MOLECULAR BIOLOGY,6166.0,5.7,Q1,0.53,67.88,SCIE
EPILEPSIA,EPILEPSIA,31/285,32/296,0013-9580,1528-1167,CLINICAL NEUROLOGY,35143.0,5.6,Q1,1.77,52.93,SCIE
CURRENT OPINION IN NEUROBIOLOGY,CURR OPIN NEUROBIOL,24/320,58/330,0959-4388,1873-6882,NEUROSCIENCES,16556.0,5.6,Q1,1.42,56.33,SCIE
European Heart Journal-Quality of Care and Clinical Outcomes,EUR HEART J-QUAL CAR,43/229,44/237,2058-5225,2058-1742,CARDIAC & CARDIOVASCULAR SYSTEMS,2725.0,5.6,Q1,1.26,38.98,SCIE
New Biotechnology,NEW BIOTECHNOL,20/85,10/85,1871-6784,1876-4347,BIOCHEMICAL RESEARCH METHODS,4728.0,5.6,Q1,1.22,100.0,SCIE
Stem Cell Reports,STEM CELL REP,3/31,7/32,2213-6711,2213-6711,CELL & TISSUE ENGINEERING,11538.0,5.6,Q1,1.0,100.0,SCIE
PROTEIN SCIENCE,PROTEIN SCI,26/319,72/328,0961-8368,1469-896X,BIOCHEMISTRY & MOLECULAR BIOLOGY,25403.0,5.6,Q1,0.96,57.26,SCIE
Non-coding RNA Research,NON-CODING RNA RES,145/319,72/328,2468-2160,2468-0540,BIOCHEMISTRY & MOLECULAR BIOLOGY,1901.0,5.6,Q1,0.93,100.0,ESCI
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,91/175,38/180,2169-1401,2169-141X,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,7718.0,5.6,Q1,0.87,99.25,SCIE
Biomolecules,BIOMOLECULES,91/319,72/328,,2218-273X,BIOCHEMISTRY & MOLECULAR BIOLOGY,65970.0,5.6,Q1,0.71,99.9,SCIE
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,99/319,72/328,1661-6596,1422-0067,BIOCHEMISTRY & MOLECULAR BIOLOGY,565688.0,5.6,Q1,0.68,99.96,SCIE
Cell Regeneration,CELL REGEN,,7/32,,2045-9769,CELL & TISSUE ENGINEERING,921.0,5.6,Q1,0.61,100.0,ESCI
Chemical Biology Letters,CHEM BIOL LETT,271/319,72/328,,2347-9825,BIOCHEMISTRY & MOLECULAR BIOLOGY,382.0,5.6,Q1,0.49,36.71,ESCI
Current Opinion in Insect Science,CURR OPIN INSECT SCI,12/105,10/106,2214-5745,2214-5753,BIOLOGY,6918.0,5.5,Q1,1.66,40.0,SCIE
BIOINFORMATICS,BIOINFORMATICS,3/85,11/85,1367-4803,1367-4811,BIOCHEMICAL RESEARCH METHODS,194389.0,5.5,Q1,1.59,99.95,SCIE
Biology Direct,BIOL DIRECT,22/105,10/106,,1745-6150,BIOLOGY,3522.0,5.5,Q1,1.43,100.0,SCIE
ALTEX-Alternatives to Animal Experimentation,ALTEX-ALTERN ANIM EX,55/187,46/191,1868-596X,1868-8551,"MEDICINE, RESEARCH & EXPERIMENTAL",2408.0,5.5,Q1,1.41,98.36,SCIE
GLIA,GLIA,48/320,59/330,0894-1491,1098-1136,NEUROSCIENCES,16348.0,5.5,Q1,1.36,60.89,SCIE
MOLECULAR NEUROBIOLOGY,MOL NEUROBIOL,114/320,59/330,0893-7648,1559-1182,NEUROSCIENCES,30073.0,5.5,Q1,1.19,25.02,SCIE
JOURNAL OF TRAVEL MEDICINE,J TRAVEL MED,34/315,37/336,1195-1982,1708-8305,"MEDICINE, GENERAL & INTERNAL",4177.0,5.5,Q1,1.18,36.82,SCIE
Cardiovascular Intervention and Therapeutics,CARDIOVASC INTERV TH,86/229,45/237,1868-4300,1868-4297,CARDIAC & CARDIOVASCULAR SYSTEMS,1451.0,5.5,Q1,1.16,32.11,ESCI
NEUROCHEMISTRY INTERNATIONAL,NEUROCHEM INT,117/319,77/328,0197-0186,1872-9754,BIOCHEMISTRY & MOLECULAR BIOLOGY,11562.0,5.5,Q1,1.14,21.08,SCIE
JACC-Advances,JACC-ADV,32/229,45/237,,2772-963X,CARDIAC & CARDIOVASCULAR SYSTEMS,3590.0,5.5,Q1,0.98,99.9,ESCI
Epidemiology and Psychiatric Sciences,EPIDEMIOL PSYCH SCI,14/285,35/293,2045-7960,2045-7979,PSYCHIATRY,5834.0,5.4,Q1,1.51,100.0,"SCIE, SSCI"
BMC BIOLOGY,BMC BIOL,11/105,12/106,,1741-7007,BIOLOGY,14355.0,5.4,Q1,1.42,99.79,SCIE
Journal of Cardiovascular Computed Tomography,J CARDIOVASC COMPUT,40/229,47/237,1934-5925,1934-5925,CARDIAC & CARDIOVASCULAR SYSTEMS,3777.0,5.4,Q1,1.35,27.72,SCIE
BIOLOGICAL RESEARCH,BIOL RES,20/105,12/106,0716-9760,0717-6287,BIOLOGY,4197.0,5.4,Q1,1.34,100.0,SCIE
American Journal of Preventive Cardiology,AM J PREVENT CARDIOL,37/229,47/237,2666-6677,2666-6677,CARDIAC & CARDIOVASCULAR SYSTEMS,2148.0,5.4,Q1,1.33,100.0,ESCI
JOURNAL OF NEUROLOGY,J NEUROL,42/285,33/296,0340-5354,1432-1459,CLINICAL NEUROLOGY,28149.0,5.4,Q1,1.32,52.41,SCIE
European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,63/229,47/237,1474-5151,1873-1953,CARDIAC & CARDIOVASCULAR SYSTEMS,4224.0,5.4,Q1,1.3,42.11,SCIE
Anaesthesia Critical Care & Pain Medicine,ANAESTH CRIT CARE PA,11/69,8/72,2352-5568,2352-5568,ANESTHESIOLOGY,2498.0,5.4,Q1,1.29,39.67,SCIE
FOOD MICROBIOLOGY,FOOD MICROBIOL,62/175,41/180,0740-0020,1095-9998,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,15812.0,5.4,Q1,1.14,27.09,SCIE
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,52/319,78/328,1044-1549,1535-4989,BIOCHEMISTRY & MOLECULAR BIOLOGY,13377.0,5.4,Q1,1.1,11.11,SCIE
WIREs Mechanisms of Disease,WIRES MECH DIS,28/187,47/191,2692-9368,2692-9368,"MEDICINE, RESEARCH & EXPERIMENTAL",838.0,5.4,Q1,0.78,44.64,SCIE
ANNALS OF FAMILY MEDICINE,ANN FAM MED,26/315,38/336,1544-1709,1544-1717,"MEDICINE, GENERAL & INTERNAL",6900.0,5.3,Q1,2.31,98.7,SCIE
ANNALS OF THORACIC SURGERY,ANN THORAC SURG,55/229,50/237,0003-4975,1552-6259,CARDIAC & CARDIOVASCULAR SYSTEMS,34197.0,5.3,Q1,1.62,6.62,SCIE
JOURNAL OF PSYCHOPHARMACOLOGY,J PSYCHOPHARMACOL,40/285,34/296,0269-8811,1461-7285,CLINICAL NEUROLOGY,10348.0,5.3,Q1,1.41,46.88,SCIE
NEUROIMAGE,NEUROIMAGE,1/18,2/18,1053-8119,1095-9572,NEUROIMAGING,122818.0,5.3,Q1,1.41,100.0,SCIE
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,8/105,14/106,0962-8436,1471-2970,BIOLOGY,60491.0,5.3,Q1,1.29,64.0,SCIE
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,J ENZYM INHIB MED CH,181/319,79/328,1475-6366,1475-6374,BIOCHEMISTRY & MOLECULAR BIOLOGY,9047.0,5.3,Q1,1.25,100.0,SCIE
European Heart Journal - Digital Health,EUR HEART J-DIGIT HL,48/229,50/237,,2634-3916,CARDIAC & CARDIOVASCULAR SYSTEMS,1563.0,5.3,Q1,1.13,100.0,ESCI
Probiotics and Antimicrobial Proteins,PROBIOTICS ANTIMICRO,59/175,42/180,1867-1306,1867-1314,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,7953.0,5.3,Q1,1.06,20.41,SCIE
BRAIN TOPOGRAPHY,BRAIN TOPOGR,84/285,34/296,0896-0267,1573-6792,CLINICAL NEUROLOGY,4234.0,5.3,Q1,0.98,41.15,SCIE
HEART FAILURE REVIEWS,HEART FAIL REV,54/229,50/237,1382-4147,1573-7322,CARDIAC & CARDIOVASCULAR SYSTEMS,5988.0,5.3,Q1,0.97,36.92,SCIE
Obesity Pillars,OBES PILLARS,42/315,38/336,,2667-3681,"MEDICINE, GENERAL & INTERNAL",727.0,5.3,Q1,0.87,99.38,ESCI
Medicine Advances,MED ADV,61/315,38/336,2834-4391,2834-4405,"MEDICINE, GENERAL & INTERNAL",358.0,5.3,Q1,0.53,100.0,ESCI
PSYCHOLOGICAL MEDICINE,PSYCHOL MED,23/285,37/293,0033-2917,1469-8978,PSYCHIATRY,40682.0,5.2,Q1,1.77,83.58,"SCIE, SSCI"
Plant Methods,PLANT METHODS,19/85,12/85,,1746-4811,BIOCHEMICAL RESEARCH METHODS,8745.0,5.2,Q1,1.27,99.8,SCIE
European Stroke Journal,EUR STROKE J,20/285,36/296,2396-9873,2396-9881,CLINICAL NEUROLOGY,3511.0,5.2,Q1,1.25,39.25,SCIE
CHEMICO-BIOLOGICAL INTERACTIONS,CHEM-BIOL INTERACT,133/319,80/328,0009-2797,1872-7786,BIOCHEMISTRY & MOLECULAR BIOLOGY,20894.0,5.2,Q1,1.18,14.65,SCIE
Frontiers in Digital Health,FRONT DIGIT HEALTH,44/180,24/194,,2673-253X,HEALTH CARE SCIENCES & SERVICES,5534.0,5.2,Q1,1.02,100.0,ESCI
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,J NUTR BIOCHEM,118/319,80/328,0955-2863,1873-4847,BIOCHEMISTRY & MOLECULAR BIOLOGY,14951.0,5.2,Q1,1.02,22.38,SCIE
Frontiers in Aging Neuroscience,FRONT AGING NEUROSCI,91/320,65/330,1663-4365,1663-4365,NEUROSCIENCES,35971.0,5.2,Q1,0.99,100.0,SCIE
BIOFACTORS,BIOFACTORS,112/319,80/328,0951-6433,1872-8081,BIOCHEMISTRY & MOLECULAR BIOLOGY,5999.0,5.2,Q1,0.95,34.85,SCIE
Brain Circulation,BRAIN CIRC,127/285,36/296,2394-8108,2455-4626,CLINICAL NEUROLOGY,1017.0,5.2,Q1,0.91,100.0,ESCI
CLEVELAND CLINIC JOURNAL OF MEDICINE,CLEV CLIN J MED,44/315,41/336,0891-1150,1939-2869,"MEDICINE, GENERAL & INTERNAL",2974.0,5.2,Q1,0.74,99.13,SCIE
BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,31/315,42/336,0960-1643,1478-5242,"MEDICINE, GENERAL & INTERNAL",10475.0,5.1,Q1,2.19,97.55,SCIE
Spine Journal,SPINE J,44/285,38/296,1529-9430,1878-1632,CLINICAL NEUROLOGY,16410.0,5.1,Q1,1.78,16.92,SCIE
Clinical Psychological Science,CLIN PSYCHOL SCI,27/285,38/293,2167-7026,2167-7034,PSYCHIATRY,5509.0,5.1,Q1,1.4,30.05,SCIE
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AM J GERIAT PSYCHIAT,49/285,38/293,1064-7481,1545-7214,PSYCHIATRY,9677.0,5.1,Q1,1.27,19.03,"SCIE, SSCI"
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,28/315,42/336,1350-6129,1744-2818,"MEDICINE, GENERAL & INTERNAL",2531.0,5.1,Q1,1.27,19.35,SCIE
PSYCHIATRY RESEARCH,PSYCHIAT RES,48/285,38/293,0165-1781,1872-7123,PSYCHIATRY,42131.0,5.1,Q1,1.21,36.43,"SCIE, SSCI"
Dialogues in Clinical Neuroscience,DIALOGUES CLIN NEURO,13/320,66/330,1294-8322,1958-5969,NEUROSCIENCES,6839.0,5.1,Q1,0.94,100.0,SCIE
ANNALS OF MICROBIOLOGY,ANN MICROBIOL,71/175,43/180,1590-4261,1869-2044,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,4701.0,5.1,Q1,0.87,100.0,SCIE
Neurospine,NEUROSPINE,86/285,39/296,2586-6583,2586-6591,CLINICAL NEUROLOGY,3054.0,5.0,Q1,1.56,99.68,SCIE
BRAIN PATHOLOGY,BRAIN PATHOL,32/285,39/296,1015-6305,1750-3639,CLINICAL NEUROLOGY,6585.0,5.0,Q1,1.45,100.0,SCIE
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,45/229,53/237,1097-6647,1532-429X,CARDIAC & CARDIOVASCULAR SYSTEMS,7481.0,5.0,Q1,1.38,100.0,SCIE
JOURNAL OF ANXIETY DISORDERS,J ANXIETY DISORD,36/285,41/293,0887-6185,1873-7897,PSYCHIATRY,10671.0,5.0,Q1,1.36,37.8,SSCI
GigaScience,GIGASCIENCE,8/135,20/140,2047-217X,2047-217X,MULTIDISCIPLINARY SCIENCES,13837.0,5.0,Q1,1.27,98.93,SCIE
Algal Research-Biomass Biofuels and Bioproducts,ALGAL RES,66/175,44/180,2211-9264,2211-9264,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,19504.0,5.0,Q1,1.04,25.7,SCIE
Psychedelic Medicine,PSYCHEDELIC MED,58/320,67/330,2831-4425,2831-4433,NEUROSCIENCES,277.0,5.0,Q1,1.01,7.5,ESCI
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,58/180,25/194,1386-5056,1872-8243,HEALTH CARE SCIENCES & SERVICES,12781.0,5.0,Q1,0.98,47.63,SCIE
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,BBA-MOL BASIS DIS,11/79,9/81,0925-4439,1879-260X,BIOPHYSICS,23286.0,5.0,Q1,0.93,26.81,SCIE
JOURNAL OF NEUROENDOCRINOLOGY,J NEUROENDOCRINOL,102/320,67/330,0953-8194,1365-2826,NEUROSCIENCES,6489.0,5.0,Q1,0.88,48.12,SCIE
Mayo Clinic Proceedings: Digital Health,MAYO CLIN P DIGIT H,35/180,25/194,,2949-7612,HEALTH CARE SCIENCES & SERVICES,745.0,5.0,Q1,0.88,99.43,ESCI
Bioresource Technology Reports,BIORESOUR TECH REP,,44/180,2589-014X,2589-014X,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,8799.0,5.0,Q1,0.85,17.1,ESCI
Therapeutic Advances in Psychopharmacology,THER ADV PSYCHOPHARM,68/285,41/293,2045-1253,2045-1261,PSYCHIATRY,1679.0,5.0,Q1,0.77,100.0,SCIE
Biophysical Reviews,BIOPHYS REV-GER,,9/81,1867-2450,1867-2469,BIOPHYSICS,4910.0,5.0,Q1,0.76,32.45,ESCI
Presse Medicale,PRESSE MED,48/315,44/336,0755-4982,2213-0276,"MEDICINE, GENERAL & INTERNAL",2271.0,5.0,Q1,0.69,27.55,SCIE
Child and Adolescent Psychiatry and Mental Health,CHILD ADOL PSYCH MEN,62/285,44/293,,1753-2000,PSYCHIATRY,4715.0,4.9,Q1,1.74,100.0,"SCIE, SSCI"
Biological Psychiatry-Cognitive Neuroscience and Neuroimaging,BIOL PSYCHIAT-COGN N,40/320,70/330,2451-9022,2451-9030,NEUROSCIENCES,5456.0,4.9,Q1,1.33,39.71,SCIE
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",ALZH DEMENT-DADM,34/285,41/296,,2352-8729,CLINICAL NEUROLOGY,4349.0,4.9,Q1,1.25,100.0,ESCI
ANNALS OF MEDICINE,ANN MED,49/315,45/336,0785-3890,1365-2060,"MEDICINE, GENERAL & INTERNAL",13491.0,4.9,Q1,1.23,99.95,SCIE
Scientific Reports,SCI REP-UK,29/135,21/140,2045-2322,2045-2322,MULTIDISCIPLINARY SCIENCES,1061414.0,4.9,Q1,1.13,99.94,SCIE
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,38/105,15/106,1567-5394,1878-562X,BIOLOGY,8368.0,4.9,Q1,1.11,20.22,SCIE
Asian Journal of Psychiatry,ASIAN J PSYCHIATR,93/285,44/293,1876-2018,1876-2026,PSYCHIATRY,7765.0,4.9,Q1,1.05,19.37,SCIE
BIOLOGICAL PROCEDURES ONLINE,BIOL PROCED ONLINE,24/85,13/85,,1480-9222,BIOCHEMICAL RESEARCH METHODS,1525.0,4.9,Q1,1.05,100.0,SCIE
BioScience Trends,BIOSCI TRENDS,29/105,15/106,1881-7815,1881-7823,BIOLOGY,2554.0,4.9,Q1,1.0,100.0,SCIE
International Journal of Health Policy and Management,INT J HEALTH POLICY,28/180,27/194,,2322-5939,HEALTH CARE SCIENCES & SERVICES,4310.0,4.9,Q1,0.99,99.47,SCIE
NPJ Microgravity,NPJ MICROGRAVITY,25/135,21/140,,2373-8065,MULTIDISCIPLINARY SCIENCES,2500.0,4.9,Q1,0.97,100.0,SCIE
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,51/229,54/237,0022-2828,1095-8584,CARDIAC & CARDIOVASCULAR SYSTEMS,14293.0,4.9,Q1,0.93,22.49,SCIE
International Journal of Tryptophan Research,INT J TRYPTOPHAN RES,131/320,70/330,1178-6469,1178-6469,NEUROSCIENCES,1064.0,4.9,Q1,0.85,100.0,ESCI
PNAS Nexus,PNAS NEXUS,19/135,23/140,,2752-6542,MULTIDISCIPLINARY SCIENCES,6584.0,4.8,Q1,2.02,99.57,ESCI
COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,45/285,47/293,0010-440X,1532-8384,PSYCHIATRY,8957.0,4.8,Q1,1.41,99.6,"SCIE, SSCI"
